Station,Hour,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),12,0.9969439782397165,0.9211802535291731,0.15357136361423437,0.8429443393072925,0.2258325936725327,-0.09003769231371686,0.08745339133241886,-0.26186506445231844,0.13075729616361773,-0.012747181006406592
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),13,0.9986400006315926,0.9219858709727297,-0.07668754456184924,0.7885090967570618,0.39515117688399937,-0.05204275317738667,0.21926182566936855,-0.28534624400952174,-0.01727869519914372,-0.0011328253562084196
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),14,0.9996231059713668,0.9054367391635796,-0.3109607689977981,0.8749558252748517,0.23005255731741495,-0.23483597974664108,0.17636229270886855,-0.20507059195110933,0.015551433557917632,-0.08212845788166197
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),15,0.9588778707826419,0.8986799074557477,-0.2900952085346875,0.8109321144258288,0.3532221940541658,-0.10029194141590703,0.13180220265611506,-0.11852893972033005,-0.01648740615815733,-0.02709032060968024
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),16,0.9891986984845103,0.9067819058554543,-0.02440864530212098,0.9035727454662438,0.21584626673540216,-0.2055228561652226,-0.07642589128748298,-0.004829892598861819,0.20234012425131345,0.4781430948645871
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),17,0.9982235870223981,0.9144629722306576,-0.01798251912275341,0.8196004287409897,0.20864336553078786,-0.30091148351712316,-0.2167349614848415,0.0769262459072302,0.3446970280673646,0.583701133531464
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),18,0.9966229118831802,0.9210348416602997,0.009890977509510042,0.7728932108008953,0.18150952201020662,-0.3943356720694091,-0.24743761514417975,0.040259726351035606,0.4681252289031652,0.43243757557664925
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),19,0.9952402337221595,0.9262937111801249,-0.0593398952505351,0.7251727083039432,0.1527832716847244,-0.30028055096458817,-0.2822943869120923,0.20846514605118668,0.5569495116024087,0.4457554508773655
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),20,0.995843146135561,0.9219541564435152,-0.3294893635564722,0.38770701360557674,0.14970894273942445,-0.22465853346498646,-0.3496379775615397,0.12440845808345984,0.5402304924173525,0.5810787339534151
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21,0.9951183502345191,0.9134183095933598,-0.39192189080787415,0.5101527649510103,0.3410320170693468,-0.20363268785784522,-0.4449644086071536,-0.018905651203204615,0.4366130838690387,0.6623307701012171
