Indicator,Mean,Std,Min,Max,Exceedance_Rate (%)
AQI,54.727617709065356,27.86173673314217,6.0,172.0,7.266338721011946
PM2.5,51.65215057823917,29.13974472165617,1.2755531738281247,172.19862283874397,
PM10,43.873107812342155,22.840052064561572,1.4881846679687498,167.5882129150391,
CO,12.136322222241743,7.889378677532082,0.03385,59.035250000000005,
NO2,8.102524975404076,9.831452052874438,0.04085,76.22665,
O3,15.975606928144764,17.011656392011776,0.4296875,177.58635,
SO2,5.603473721558522,6.21788682319234,0.404,54.83573333333333,
